shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10106,39.515461,-119.807925,150002
10106,39.516359,-119.808367,150003
10106,39.516359,-119.808367,160001
10106,39.516387,-119.808380,160002
10106,39.516523,-119.808447,160003
10106,39.517020,-119.808686,160004
10106,39.517706,-119.809027,160005
10106,39.518296,-119.809314,160006
10106,39.518703,-119.809515,160007
10106,39.518703,-119.809515,170001
10106,39.518886,-119.809605,170002
10106,39.519932,-119.810116,170003
10106,39.520119,-119.810210,170004
10106,39.520119,-119.810210,180001
10106,39.520413,-119.810358,180002
10106,39.520912,-119.810601,180003
10106,39.521475,-119.810876,180004
10106,39.521475,-119.810876,190001
10106,39.521694,-119.810983,190002
10106,39.521808,-119.811060,190003
10106,39.521900,-119.811164,190004
10106,39.522241,-119.809883,190005
10106,39.522736,-119.810136,190006
10106,39.522736,-119.810136,200001
10106,39.522904,-119.810221,200002
10106,39.523628,-119.810564,200003
10106,39.524169,-119.810789,200004
10106,39.524387,-119.810882,200005
10106,39.524387,-119.810882,210001
10106,39.524708,-119.811019,210002
10106,39.525123,-119.811193,210003
10106,39.525473,-119.811351,210004
10106,39.525724,-119.811476,210005
10106,39.525732,-119.811476,210006
10106,39.526159,-119.811647,210007
10106,39.526419,-119.811734,210008
10106,39.526419,-119.811734,220001
10106,39.527174,-119.811987,220002
10106,39.528414,-119.812371,220003
10106,39.528643,-119.811180,220004
10106,39.528660,-119.811131,220005
10106,39.528685,-119.811078,220006
10106,39.529377,-119.811287,220007
10106,39.529523,-119.811338,220008
10106,39.529630,-119.811370,220009
10106,39.529684,-119.811101,220010
10107,39.472018,-119.783004,10001
10107,39.471531,-119.782768,10002
10107,39.471530,-119.782865,10003
10107,39.471535,-119.784320,10004
10107,39.471516,-119.784769,10005
10107,39.471498,-119.785169,10006
10107,39.471461,-119.785363,10007
10107,39.471199,-119.786298,10008
10107,39.471808,-119.786593,10009
10107,39.471808,-119.786593,20001
10107,39.472163,-119.786764,20002
10107,39.474007,-119.787657,20003
10107,39.474275,-119.787778,20004
10107,39.474573,-119.787907,20005
10107,39.474689,-119.787965,20006
10107,39.474689,-119.787965,30001
10107,39.475307,-119.788267,30002
10107,39.476742,-119.788947,30003
10107,39.476851,-119.789006,30004
10107,39.477007,-119.789090,30005
10107,39.477594,-119.789380,30006
10107,39.477897,-119.789524,30007
10107,39.478607,-119.789865,30008
10107,39.478762,-119.789935,30009
10107,39.478954,-119.790027,30010
10107,39.479184,-119.790141,30011
10107,39.479446,-119.790266,30012
10107,39.480128,-119.790597,30013
10107,39.480128,-119.790597,40001
10107,39.480386,-119.790722,40002
10107,39.480779,-119.790909,40003
10107,39.481090,-119.791081,40004
10107,39.481831,-119.791430,40005
10107,39.481910,-119.791474,40006
10107,39.482170,-119.791592,40007
10107,39.482241,-119.791625,40008
10107,39.482301,-119.791655,40009
10107,39.482798,-119.791879,40010
10107,39.484060,-119.792489,40011
10107,39.484961,-119.792930,40012
10107,39.484961,-119.792930,50001
10107,39.485104,-119.793000,50002
10107,39.485737,-119.793351,50003
10107,39.487949,-119.794459,50004
10107,39.488047,-119.794557,50005
10107,39.490143,-119.795597,50006
10107,39.490143,-119.795597,60001
10107,39.491265,-119.796154,60002
10107,39.491562,-119.796301,60003
10107,39.492193,-119.796634,60004
10107,39.493135,-119.797133,60005
10107,39.493662,-119.797383,60006
10107,39.493792,-119.797442,60007
10107,39.493792,-119.797442,70001
10107,39.494580,-119.797803,70002
10107,39.494752,-119.797887,70003
