route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9-63,1801-1801-Weekday-01,433778-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,90054
9-63,1801-1801-Weekday-01,433779-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,90054
9-63,1801-1801-Weekday-01,433780-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,90054
12-63,1801-1801-Weekday-01,433781-1801-1801-Weekday-01,"Meadowood Mall",0,9103,120135
12-63,1801-1801-Weekday-01,433782-1801-1801-Weekday-01,"Meadowood Mall",0,9101,120135
12-63,1801-1801-Weekday-01,433783-1801-1801-Weekday-01,"Meadowood Mall",0,9102,120135
12-63,1801-1801-Weekday-01,433784-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,120171
12-63,1801-1801-Weekday-01,433785-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,120171
12-63,1801-1801-Weekday-01,433786-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,120171
9-63,1801-1801-Weekday-01,433787-1801-1801-Weekday-01,"Meadowood Mall",0,9103,90053
9-63,1801-1801-Weekday-01,433788-1801-1801-Weekday-01,"Meadowood Mall",0,9101,90053
9-63,1801-1801-Weekday-01,433789-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433790-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,90054
9-63,1801-1801-Weekday-01,433791-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,90054
9-63,1801-1801-Weekday-01,433792-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,90054
9-63,1801-1801-Weekday-01,433793-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,90054
12-63,1801-1801-Weekday-01,433794-1801-1801-Weekday-01,"Meadowood Mall",0,9105,120135
12-63,1801-1801-Weekday-01,433795-1801-1801-Weekday-01,"Meadowood Mall",0,9103,120135
12-63,1801-1801-Weekday-01,433796-1801-1801-Weekday-01,"Meadowood Mall",0,9101,120135
12-63,1801-1801-Weekday-01,433797-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,120171
12-63,1801-1801-Weekday-01,433798-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,120171
12-63,1801-1801-Weekday-01,433799-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,120171
12-63,1801-1801-Weekday-01,433800-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,120171
9-63,1801-1801-Weekday-01,433801-1801-1801-Weekday-01,"Meadowood Mall",0,9104,90053
9-63,1801-1801-Weekday-01,433802-1801-1801-Weekday-01,"Meadowood Mall",0,9105,90053
9-63,1801-1801-Weekday-01,433803-1801-1801-Weekday-01,"Meadowood Mall",0,9103,90053
9-63,1801-1801-Weekday-01,433804-1801-1801-Weekday-01,"Meadowood Mall",0,9101,90053
9-63,1801-1801-Weekday-01,433805-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,90054
9-63,1801-1801-Weekday-01,433806-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,90054
9-63,1801-1801-Weekday-01,433807-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,90054
9-63,1801-1801-Weekday-01,433808-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,90054
12-63,1801-1801-Weekday-01,433809-1801-1801-Weekday-01,"Meadowood Mall",0,9103,120135
12-63,1801-1801-Weekday-01,433810-1801-1801-Weekday-01,"Meadowood Mall",0,9101,120135
12-63,1801-1801-Weekday-01,433811-1801-1801-Weekday-01,"Meadowood Mall",0,9102,120135
12-63,1801-1801-Weekday-01,433812-1801-1801-Weekday-01,"Meadowood Mall",0,9104,120135
12-63,1801-1801-Weekday-01,433813-1801-1801-Weekday-01,"Meadowood Mall",0,9102,120135
12-63,1801-1801-Weekday-01,433814-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,120171
12-63,1801-1801-Weekday-01,433815-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,120171
12-63,1801-1801-Weekday-01,433816-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,120171
12-63,1801-1801-Weekday-01,433817-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,120171
12-63,1801-1801-Weekday-01,433818-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,120171
9-63,1801-1801-Weekday-01,433819-1801-1801-Weekday-01,"Meadowood Mall",0,9103,90053
9-63,1801-1801-Weekday-01,433820-1801-1801-Weekday-01,"Meadowood Mall",0,9101,90053
9-63,1801-1801-Weekday-01,433821-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433822-1801-1801-Weekday-01,"Meadowood Mall",0,9104,90053
9-63,1801-1801-Weekday-01,433823-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433824-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,90054
9-63,1801-1801-Weekday-01,433825-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,90054
9-63,1801-1801-Weekday-01,433826-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,90054
9-63,1801-1801-Weekday-01,433827-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,90054
9-63,1801-1801-Weekday-01,433828-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,90054
12-63,1801-1801-Weekday-01,433829-1801-1801-Weekday-01,"Meadowood Mall",0,9102,120135
12-63,1801-1801-Weekday-01,433830-1801-1801-Weekday-01,"Meadowood Mall",0,9104,120135
12-63,1801-1801-Weekday-01,433831-1801-1801-Weekday-01,"Meadowood Mall",0,9105,120135
12-63,1801-1801-Weekday-01,433832-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,120171
12-63,1801-1801-Weekday-01,433833-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,120171
12-63,1801-1801-Weekday-01,433834-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,120171
9-63,1801-1801-Weekday-01,433835-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433836-1801-1801-Weekday-01,"Meadowood Mall",0,9104,90053
9-63,1801-1801-Weekday-01,433837-1801-1801-Weekday-01,"Meadowood Mall",0,9105,90053
9-63,1801-1801-Weekday-01,433838-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,90054
9-63,1801-1801-Weekday-01,433839-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,90054
9-63,1801-1801-Weekday-01,433840-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,90054
12-63,1801-1801-Weekday-01,433841-1801-1801-Weekday-01,"Meadowood Mall",0,9105,120135
12-63,1801-1801-Weekday-01,433842-1801-1801-Weekday-01,"Meadowood Mall",0,9103,120135
12-63,1801-1801-Weekday-01,433843-1801-1801-Weekday-01,"Meadowood Mall",0,9101,120135
12-63,1801-1801-Weekday-01,433844-1801-1801-Weekday-01,"Meadowood Mall",0,9102,120135
12-63,1801-1801-Weekday-01,433845-1801-1801-Weekday-01,"Meadowood Mall",0,9104,120135
12-63,1801-1801-Weekday-01,433846-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,120171
12-63,1801-1801-Weekday-01,433847-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,120171
12-63,1801-1801-Weekday-01,433848-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,120171
12-63,1801-1801-Weekday-01,433849-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,120171
12-63,1801-1801-Weekday-01,433850-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,120171
9-63,1801-1801-Weekday-01,433851-1801-1801-Weekday-01,"Meadowood Mall",0,9105,90053
9-63,1801-1801-Weekday-01,433852-1801-1801-Weekday-01,"Meadowood Mall",0,9103,90053
9-63,1801-1801-Weekday-01,433853-1801-1801-Weekday-01,"Meadowood Mall",0,9101,90053
9-63,1801-1801-Weekday-01,433854-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433855-1801-1801-Weekday-01,"Meadowood Mall",0,9101,90053
9-63,1801-1801-Weekday-01,433856-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9105,90054
9-63,1801-1801-Weekday-01,433857-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9103,90054
9-63,1801-1801-Weekday-01,433858-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,90054
9-63,1801-1801-Weekday-01,433859-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,90054
9-63,1801-1801-Weekday-01,433860-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,90054
12-63,1801-1801-Weekday-01,433861-1801-1801-Weekday-01,"Meadowood Mall",0,9101,120135
12-63,1801-1801-Weekday-01,433862-1801-1801-Weekday-01,"Meadowood Mall",0,9102,120135
12-63,1801-1801-Weekday-01,433863-1801-1801-Weekday-01,"Meadowood Mall",0,9104,120135
12-63,1801-1801-Weekday-01,433864-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,120171
12-63,1801-1801-Weekday-01,433865-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,120171
12-63,1801-1801-Weekday-01,433866-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,120171
9-63,1801-1801-Weekday-01,433867-1801-1801-Weekday-01,"Meadowood Mall",0,9101,90053
9-63,1801-1801-Weekday-01,433868-1801-1801-Weekday-01,"Meadowood Mall",0,9102,90053
9-63,1801-1801-Weekday-01,433869-1801-1801-Weekday-01,"Meadowood Mall",0,9104,90053
9-63,1801-1801-Weekday-01,433870-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9101,90054
9-63,1801-1801-Weekday-01,433871-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9102,90054
9-63,1801-1801-Weekday-01,433872-1801-1801-Weekday-01,"RTC 4th STREET STATION",1,9104,90054
