stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1325,,"Lillard Drive and Boxington Way",,  39.538906,-119.711258,,,0,
1326,,"Lillard Drive at Ozburn-Hessey Logistics",,  39.535824,-119.711288,,,0,
133,,"W 5th Street and Washington Street",,  39.529625,-119.823540,,,0,
1330,,"Dandini Boulevard and E Leonesio Drive",,  39.570469,-119.783356,,,0,
1332,,"Sutro Street and E 4th Street",,  39.533955,-119.797890,,,0,
1333,,"Dandini Boulevard and E Leonesio Drive",,  39.570503,-119.782997,,,0,
1337,,"Lillard Drive and E Lincoln Way",,  39.533890,-119.711258,,,0,
1339,,"Wedekind Road and Montello Street",,  39.548126,-119.797859,,,0,
134,,"Washington Street and W 6th Street",,  39.531197,-119.824257,,,0,
1340,,"Wedekind Road and Helena Avenue",,  39.550304,-119.795151,,,0,
1341,,"Wedekind Road and Whitfield Way",,  39.552059,-119.793282,,,0,
1342,,"Wedekind Road and Clear Acre Lane",,  39.551476,-119.790688,,,0,
1343,,"Wedekind Road at Community Garden Apartments",,  39.551033,-119.786201,,,0,
1344,,"Wedekind Road and Silverada Boulevard",,  39.551579,-119.783104,,,0,
1345,,"Wedekind Road and Platora Way",,  39.552399,-119.781296,,,0,
1346,,"Northtowne Lane and Lund Lane",,  39.554245,-119.782310,,,0,
1347,,"El Rancho Drive and McCarran Boulevard",,  39.557686,-119.779076,,,0,
1348,,"El Rancho Drive and Divot Drive",,  39.561329,-119.773659,,,0,
1349,,"El Rancho Drive and Sullivan Lane",,  39.564152,-119.773720,,,0,
1350,,"El Rancho Drive and Moorpark Court",,  39.567303,-119.777283,,,0,
1351,,"El Rancho Drive and Sun Valley Boulevard",,  39.569996,-119.780434,,,0,
1352,,"El Rancho Drive and Clinton Court",,  39.569710,-119.780396,,,0,
1353,,"El Rancho Drive and Weems Way",,  39.566517,-119.775566,,,0,
1354,,"El Rancho Drive and Sullivan Lane",,  39.563877,-119.773880,,,0,
1355,,"El Rancho Drive and Wild Creek Drive",,  39.561302,-119.773834,,,0,
1356,,"El Rancho Drive and McCarran Boulevard",,  39.557884,-119.779152,,,0,
1365,,"W 7th Street and Washington Street",,  39.532181,-119.825317,,,0,
1366,,"W 7th Street and Canal Street",,  39.531574,-119.828125,,,0,
1367,,"W 7th Street and Keystone Avenue",,  39.531090,-119.830612,,,0,
1368,,"W 7th Street and Stargaze Way",,  39.534878,-119.878273,,,0,
1370,,"Robb Drive and Mae Anne Avenue",,  39.530457,-119.881874,,,0,
1371,,"W 7th Street at Walmart",,  39.537525,-119.867416,,,0,
